"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Research College of Nursing",NA,39.008747,-94.558087,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6831,14387,65716.12,23600,37200,67600,86200,NA,50900,87800,NA
"Rockhurst University",NA,39.030843,-94.571249,0.7358,0,34790,34790,NA,NA,NA,NA,NA,18442,19326,21183,22796,25324,NA,290,7117,20500,68699.32,14200,26600,54300,69700,15800,30700,68700,92100
"Rolla Technical Institute/Center",65401,37.94702,-91.749081,0.8103,0.0367,NA,NA,NA,10140,9927,16370,NA,NA,NA,NA,NA,NA,4,NA,NA,9960,41036.2,4800,18100,37000,54000,6000,16500,44600,57500
"Everest College-Springfield",65807,37.18165,-93.304743,NA,0,10800,10800,NA,NA,NA,NA,NA,20933,22971,18919,NA,NA,NA,18,3129,7436,52486.08,2900,8800,28600,42600,4000,12500,36400,53300
"Saint Louis University",NA,38.636516,-90.23343,0.6333,0,39226,39226,NA,NA,NA,NA,NA,25525,23345,28678,30284,34851,NA,963,9647,26000,72169.74,15000,27700,58400,73800,19900,36500,76900,103400
"Salem College of Hairstyling",65401,37.94439,-91.78492,NA,0,NA,NA,NA,NA,NA,NA,NA,4407,NA,NA,NA,NA,NA,11,NA,NA,41021.65,NA,NA,NA,NA,NA,NA,NA,NA
"American College of Hair Design Inc",65301,38.699237,-93.253073,NA,0,NA,NA,NA,NA,NA,NA,NA,9547,NA,13766,NA,NA,NA,8,NA,NA,44506.79,NA,NA,NA,NA,NA,NA,NA,NA
"Sikeston Career and Technology Center",NA,36.875089,-89.569276,NA,0,NA,NA,13620,13620,13620,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,37213.92,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Louis Christian College",63033,38.775771,-90.294569,0.3611,0,10075,10075,NA,NA,NA,NA,NA,11547,12397,14514,17390,17177,NA,10,4190,30750,59406.69,4100,15900,33800,55600,NA,NA,NA,NA
"St Louis College of Pharmacy",NA,38.637165,-90.260357,NA,0,27847,27847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8395,19500,64533.67,29200,69500,129300,139700,31800,69400,136700,147900
"Saint Louis Community College",NA,38.62273,-90.190701,NA,0.0301,3090,6150,6460,7581,8877,10485,11055,NA,NA,NA,NA,NA,1577,NA,6907,6750,52224.44,4800,11600,32600,47400,6100,14800,41100,59100
"Saint Paul School of Theology",66224,38.8803,-94.641251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southwest Baptist University",NA,37.601603,-93.410451,0.9047,0,21908,21908,NA,NA,NA,NA,NA,15199,13767,13379,16477,16303,NA,296,5774,21087.5,49841.76,7800,17700,41700,53200,8800,20700,48100,66500
"Missouri State University-West Plains",NA,36.729574,-91.857838,NA,0.0101,3880,7450,9718,9124,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,5414,10112.5,35977.85,5500,14300,34500,44800,6400,16100,38900,54300
"Saint Luke's College of Health Sciences",64111,39.05216,-94.594501,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7330,23674,77463.96,NA,NA,NA,NA,NA,NA,NA,NA
"St Louis College of Health Careers-St Louis",63110,38.631599,-90.260564,NA,0,NA,NA,NA,NA,NA,NA,NA,28827,29609,NA,NA,NA,NA,43,3477,10907,44081.68,4400,8600,24900,39900,2700,12100,34200,46500
"State Fair Community College",NA,38.699145,-93.269608,NA,0.0618,2640,5040,4363,4683,5761,7430,7144,NA,NA,NA,NA,NA,603,NA,4893,10500,44854,6100,13500,33900,48400,7500,17000,42900,58100
"Stephens College",65215,38.950631,-92.322997,0.6779,0,29176,29176,NA,NA,NA,NA,NA,19697,20668,21096,23568,25366,NA,179,5781,27000,61398.11,7400,17300,36800,51600,4200,19100,47000,63700
"Southeast Missouri State University",63701,37.31575,-89.529119,0.8429,0.0608,6990,12375,9503,10230,12557,15085,16073,NA,NA,NA,NA,NA,890,NA,7272,22527,51305.92,9900,18900,38500,52900,12500,24300,51800,70700
"Missouri State University-Springfield",65897,37.197983,-93.276821,0.8585,0.0078,7060,13930,11699,12947,15237,16882,17497,NA,NA,NA,NA,NA,2089,NA,7410,22500,56273.4,10800,20900,42200,54100,12600,24900,54200,73500
"Three Rivers Community College",63901,36.775114,-90.430212,NA,0.0156,4104,7164,6351,7044,8211,9338,12570,NA,NA,NA,NA,NA,504,NA,5406,10641,36416.13,4500,11100,33100,47100,6400,14500,37600,56800
"North Central Missouri College",64683,40.077753,-93.618207,NA,0.0419,3180,5340,7183,7955,9472,10116,11191,NA,NA,NA,NA,NA,203,NA,4430,10463.5,42060.96,5200,15000,35800,51800,6600,16600,42700,57700
"Kansas City University of Medicine and Biosciences",NA,39.107553,-94.561374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Washington University in St Louis",NA,38.648125,-90.311639,0.1674,0,48093,48093,NA,NA,NA,NA,NA,11457,10377,17051,27713,46889,NA,542,14021,19900,79298.58,12600,33100,75500,106900,20200,45700,102000,154300
"Webster University",NA,38.589269,-90.345654,0.5612,0,25500,25500,NA,NA,NA,NA,NA,23790,25610,27903,26202,27358,NA,364,8515,25000,66464.45,8200,19400,45800,64100,9500,25800,61000,81100
"Wentworth Military Academy and College",NA,39.187108,-93.872974,NA,0,19000,19000,NA,NA,NA,NA,NA,15218,16373,19040,20086,17980,NA,88,4447,12000,51031.9,3700,15000,38800,47200,7700,11900,41300,57400
"Westminster College",NA,38.847764,-91.954345,0.6367,0,23480,23480,NA,NA,NA,NA,NA,16434,18087,19509,23033,21812,NA,179,5751,26437,62575.25,9900,20600,41300,51600,20900,27200,60700,81200
"William Jewell College",NA,39.247848,-94.41207,0.4938,0,32330,32330,NA,NA,NA,NA,NA,19349,18549,18903,20846,23249,NA,231,6486,25000,66156.47,13000,24800,50000,64500,12600,28800,63100,74200
"William Woods University",NA,38.857864,-91.949273,0.7312,0,22160,22160,NA,NA,NA,NA,NA,21013,19527,22741,22955,26209,NA,173,5503,21437,58051.44,10800,21300,39400,52500,10600,23000,47400,65500
"Academy of Cosmetology",NA,45.680504,-111.039768,NA,0,NA,NA,NA,NA,NA,NA,NA,9854,10604,8114,NA,NA,NA,18,NA,NA,49491.2,NA,NA,NA,NA,NA,NA,NA,NA
"Blackfeet Community College",NA,48.551632,-113.009373,NA,0,2890,2890,NA,NA,NA,NA,NA,11787,NA,NA,NA,NA,NA,79,2301,NA,33376.92,1400,4100,23800,32700,1500,5000,26400,40600
"Butte Academy of Beauty Culture",59701,46.0121,-112.540163,NA,0,NA,NA,NA,NA,NA,NA,NA,10260,10524,13725,13725,NA,NA,35,NA,9567.5,41554.55,NA,NA,NA,NA,NA,NA,NA,NA
"Highlands College of Montana Tech",59701,45.937702,-112.509233,NA,0.0909,3263,8380,6896,8319,10945,12349,13422,NA,NA,NA,NA,NA,110,NA,7490,20000,44236.75,9000,19800,60600,81900,10300,24800,64300,103700
"Crevier's Academy of Cosmetology Arts",59901,48.201459,-114.318951,NA,0,NA,NA,NA,NA,NA,NA,NA,3640,8715,10331,NA,NA,NA,66,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carroll College",NA,46.602202,-112.04053,0.641,0,30754,30754,NA,NA,NA,NA,NA,17842,18233,21579,24866,27126,NA,230,6519,27000,55326.09,10900,24500,50700,64300,11800,28100,62700,81400
"Dawson Community College",59330,47.085225,-104.725241,NA,0,3570,10815,5072,5345,10072,11007,8410,NA,NA,NA,NA,NA,52,NA,4337,8750,44271.76,4800,14300,39400,51200,7500,16500,50200,68100
"Chief Dull Knife College",59043,45.625559,-106.66459,NA,0,2260,2260,4377,3710,7996,NA,NA,NA,NA,NA,NA,NA,28,NA,5316,NA,35139.37,NA,NA,NA,NA,NA,NA,NA,NA
"Montana State University-Billings",NA,45.796896,-108.523009,NA,0.033,5808,17842,11023,11819,13821,15387,15584,NA,NA,NA,NA,NA,459,NA,6564,17500,48720.57,6800,18100,43500,60200,6800,19500,49700,68200
"Flathead Valley Community College",59901,48.227389,-114.327258,NA,0.0248,3964,11105,8829,8927,10124,11352,NA,NA,NA,NA,NA,NA,172,NA,5712,10500,45666.55,5100,12900,35000,53800,3500,13300,41800,58700
"Aaniiih Nakoda College",59526,48.53309,-108.78364,NA,0.0556,2410,2410,4225,5413,4448,NA,NA,NA,NA,NA,NA,NA,23,NA,4723,NA,34283.53,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Peck Community College",NA,48.113569,-105.193021,NA,0.0286,2250,2250,3071,3858,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,4882,NA,33307.72,1800,5300,25800,32400,2300,5700,30300,46500
"Great Falls College Montana State University",59405,47.485581,-111.269558,NA,0.0094,3130,9382,8706,9567,11517,12648,13017,NA,NA,NA,NA,NA,141,NA,5449,NA,45731.09,5600,12700,37800,53000,4200,16300,44800,55600
"University of Great Falls",NA,47.490279,-111.270167,0.5983,0,22170,22170,NA,NA,NA,NA,NA,16255,16515,19918,18952,20267,NA,123,5100,25000,48623.58,5400,16100,37700,54700,5100,17400,47300,53700
"Helena College University of Montana",59601,46.595384,-112.016035,NA,0.0085,3085,8393,11105,11503,12819,14027,14595,NA,NA,NA,NA,NA,146,NA,5457,16738,50421.45,7400,15200,40800,52600,8000,19400,48900,64700
"Little Big Horn College",59022,45.603654,-107.457048,NA,0,3200,3200,6742,6625,7339,9091,NA,NA,NA,NA,NA,NA,27,NA,3786,NA,37616.43,1100,4400,24300,29900,NA,4700,27200,NA
"Miles Community College",NA,46.404636,-105.826609,NA,0,3945,8085,7160,7369,9239,9604,12010,NA,NA,NA,NA,NA,52,NA,4914,12000,43823.67,6300,17700,47300,59600,5400,19200,57100,71300
"Modern Beauty School Inc",59808,46.88111,-114.024111,NA,0,NA,NA,NA,NA,NA,NA,NA,7100,NA,NA,NA,NA,NA,28,NA,15311,46304.87,NA,NA,NA,NA,NA,NA,NA,NA
"Montana Tech of the University of Montana",NA,46.012164,-112.557,0.8879,0,6539,19571,8910,9643,12300,15531,15003,NA,NA,NA,NA,NA,130,NA,7188,20000,44236.75,9000,19800,60600,81900,10300,24800,64300,103700
"Montana State University",59717,45.666829,-111.049918,0.8286,0.0419,6849,22081,13558,14557,17022,18754,18961,NA,NA,NA,NA,NA,787,NA,8253,24000,53207.14,9000,20700,49100,62300,9700,24600,60100,84200
"The University of Montana",59812,46.861074,-113.98294,0.9102,0.0088,6158,23048,10957,11259,13901,15464,15501,NA,NA,NA,NA,NA,916,NA,7866,23183,50573.68,7500,16900,40700,58300,9000,20200,52800,74900
"Montana State University-Northern",59501,48.541054,-109.686457,1,0.0625,5329,17408,10548,11946,14012,15322,15497,NA,NA,NA,NA,NA,118,NA,5448,15340.5,43741.63,6500,18600,49000,61700,8200,20700,52200,71200
"Rocky Mountain College",NA,45.796765,-108.553899,0.6985,0,25742,25742,NA,NA,NA,NA,NA,14962,16305,16338,19675,22134,NA,200,5893,26000,51454.11,6300,18900,43900,62200,9200,23900,60500,97200
"Salish Kootenai College",59855,47.596864,-114.107191,NA,0,4191,11463,NA,NA,NA,NA,NA,7429,7004,10654,NA,NA,NA,78,5101,12472.5,38152.14,1600,7500,30300,46500,3400,11100,39900,57300
"The University of Montana-Western",NA,45.208306,-112.639264,NA,0,4835,15995,8306,8064,13487,10784,10631,NA,NA,NA,NA,NA,133,NA,6193,20929,47125.83,6200,17200,37300,50400,8400,18400,43000,63800
"La'James International College",68025,41.44576,-96.482042,NA,0,NA,NA,NA,NA,NA,NA,NA,12723,11506,NA,17590,NA,NA,12,NA,NA,50466.1,5000,NA,NA,29700,NA,9700,24200,NA
"Bellevue University",NA,41.150225,-95.91764,NA,0,7050,7050,NA,NA,NA,NA,NA,8204,9665,11660,NA,NA,NA,47,5667,18515,63424.91,13600,28900,64300,92100,18200,34000,78600,100600
"Clarkson College",NA,41.259201,-95.977188,0.5181,0,13904,13904,NA,NA,NA,NA,NA,17579,14768,14718,22848,21845,NA,23,5692,25000,61065.74,21000,36000,56700,69900,21300,33700,61500,71800
"Bryan College of Health Sciences",NA,40.796768,-96.651532,0.8551,0,14169,14169,NA,NA,NA,NA,NA,17359,21940,22229,24452,24542,NA,43,6576,24311,58151.07,24900,37200,54000,61000,19500,35800,62100,82900
"Central Community College",NA,40.889582,-98.372549,NA,0.0611,2820,4050,6378,6711,8508,10644,10519,NA,NA,NA,NA,NA,408,NA,6243,6391,49654.04,6600,15500,36600,47100,7300,16500,41600,54400
"Chadron State College",NA,42.820672,-103.002793,NA,0,6220,6250,8508,8168,11197,13918,14055,NA,NA,NA,NA,NA,183,NA,6867,17785.5,47191.79,8800,19100,43300,58100,9700,23700,52500,75000
"College of Hair Design-Downtown",NA,40.811227,-96.705118,NA,0,NA,NA,NA,NA,NA,NA,NA,9864,NA,NA,NA,NA,NA,28,NA,14499,55443.76,4100,10100,26500,34100,5500,11300,30200,42100
"Concordia University-Nebraska",NA,40.914853,-97.089054,0.7768,0,27110,27110,NA,NA,NA,NA,NA,15853,16928,18667,20632,23385,NA,232,5781,25250,60450.28,10700,23400,46700,53500,8700,23000,52800,68500
"Creighton University",68178,41.265325,-95.947029,0.7048,0.0044,36422,36422,NA,NA,NA,NA,NA,20574,20953,23718,26207,31682,NA,831,9114,25332.5,68443.5,16100,30800,61100,82100,22800,38800,84400,123300
"Doane University-Arts & Sciences",68333,40.623107,-96.949656,0.7659,0,28790,28790,NA,NA,NA,NA,NA,19063,19602,22410,23405,23568,NA,253,6522,25000,57123.16,10800,24300,45800,56000,14600,30600,58600,77400
"Grace University",NA,41.244723,-95.92789,0.5864,0,20548,20548,NA,NA,NA,NA,NA,11324,19230,15426,18256,21663,NA,48,5008,17750,60446.7,2900,13600,38000,41200,3700,17000,43500,62700
"Hastings College",68901,40.590448,-98.373641,0.7115,0,27300,27300,NA,NA,NA,NA,NA,15676,18591,20283,20414,20423,NA,257,6196,27000,58174.49,12900,22700,44300,56300,12500,28500,55400,77200
"CHI Health School of Radiologic Technology",68122,41.321951,-96.019738,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5556,NA,55225.68,NA,NA,NA,NA,NA,NA,NA,NA
"Joseph's College Cosmetology",NA,40.813464,-96.688545,NA,0,NA,NA,NA,NA,NA,NA,NA,12310,12300,14068,18095,18686,NA,113,NA,15507.5,49175.25,2600,7000,21900,28600,2800,7500,23000,31900
"University of Nebraska at Kearney",NA,40.700787,-99.098237,0.8538,0,6711,12981,12885,12568,14861,17779,18693,NA,NA,NA,NA,NA,608,NA,7157,21250,51335.53,12300,22200,42500,54100,12100,26200,53200,72400
"Kaplan University-Lincoln Campus",68508,40.808915,-96.694181,NA,0,15352,15352,NA,NA,NA,NA,NA,19837,18467,NA,24467,NA,NA,7,4809,28965,55118.47,4700,11900,39000,66700,7500,17500,52500,78100
"Nebraska Methodist College of Nursing & Allied Health",NA,41.265973,-96.048511,0.3427,0,13418,13418,NA,NA,NA,NA,NA,14470,13720,19270,18000,21833,NA,32,6056,24500,66507.51,21400,31400,54500,66500,11300,31300,61600,80300
"Metropolitan Community College Area",NA,41.305504,-95.958658,NA,0.0314,2745,4005,6451,7013,6299,8085,6102,NA,NA,NA,NA,NA,609,NA,7098,7987,60133.75,4900,14600,37100,49000,5700,15500,42500,58000
"Mid-Plains Community College",69101,41.110429,-100.748417,NA,0,2880,3600,4568,5011,6895,8640,8502,NA,NA,NA,NA,NA,212,NA,6743,7700.5,47674.87,4900,13800,37100,51700,6300,15800,44200,56900
"Midland University",68025,41.43675,-96.488354,0.6063,0,29400,29400,NA,NA,NA,NA,NA,20720,20284,22549,24343,25164,NA,291,5936,27000,56723.06,11600,22500,46000,55000,12600,25800,53800,72600
"Nebraska Christian College of Hope International University",68046,41.12314,-96.09437,NA,0,15000,15000,NA,NA,NA,NA,NA,16482,16611,19197,19562,21350,NA,26,5534,NA,55294.1,NA,NA,NA,NA,NA,NA,NA,NA
"University of Nebraska at Omaha",NA,41.257746,-96.010797,0.7594,0,6898,18610,9198,10076,12595,15750,16173,NA,NA,NA,NA,NA,1042,NA,8003,19500,66043.01,11300,23100,47200,58900,13700,27900,59700,79700
"Kaplan University-Omaha Campus",NA,41.309515,-96.072772,NA,0,15352,15352,NA,NA,NA,NA,NA,18984,21092,NA,NA,NA,NA,18,4775,28965,55118.47,4700,11900,39000,66700,7500,17500,52500,78100
"Nebraska Indian Community College",NA,42.116741,-96.351802,NA,0,4080,4080,7594,8235,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,2784,NA,34199.84,NA,NA,NA,NA,NA,NA,NA,NA
"University of Nebraska Medical Center",NA,41.255137,-95.976147,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8721,15250,57605.1,32800,46300,84900,113600,29300,47600,116600,159300
"Nebraska Wesleyan University",NA,40.838789,-96.648414,0.788,0,29800,29800,NA,NA,NA,NA,NA,17134,18094,21477,23180,25384,NA,283,6458,25000,59199.51,11700,24500,49800,60900,18300,32900,63200,81700
"University of Nebraska-Lincoln",68588,40.822272,-96.702177,0.7636,0.015,8367,22534,11782,12656,15629,19184,20264,NA,NA,NA,NA,NA,2210,NA,10385,21700,60976.73,12700,24200,47400,61600,16100,30000,62000,84500
"Northeast Community College",NA,42.049301,-97.397591,NA,0.0476,3165,4215,5714,6316,8223,10619,11178,NA,NA,NA,NA,NA,518,NA,4478,11202,46523.75,8800,17700,41500,54200,9200,20500,49800,62100
"Peru State College",NA,40.474689,-95.732731,NA,0,6816,6816,10039,10953,12783,14224,14511,NA,NA,NA,NA,NA,211,NA,7036,20975,55329.64,7500,18700,41700,54500,11700,22200,49100,66200
"College of Saint Mary",68106,41.240879,-96.020209,0.6146,0,28964,28964,NA,NA,NA,NA,NA,15923,16312,17614,18221,19719,NA,56,6156,26000,62625.82,8700,23800,49900,64200,11200,26200,53000,69700
"Southeast Community College Area",NA,40.81079,-96.62818,NA,0.1004,3218,3932,6610,6539,8621,10316,10427,NA,NA,NA,NA,NA,800,NA,5312,10621,53931.71,8200,18800,41300,55300,9400,22700,50400,64900
"Union College",68506,40.774778,-96.651095,0.5614,0,21970,21970,NA,NA,NA,NA,NA,16560,19237,19709,20614,23050,NA,127,5513,27000,60804.76,7900,21300,49000,66200,7600,22600,59400,88500
"Vatterott College-Spring Valley",68137,41.217235,-96.097884,NA,0.0769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,58336.21,4000,10900,31200,42700,8300,13600,35200,57700
"Nebraska College of Technical Agriculture",NA,40.635528,-100.510189,NA,0,4602,9363,9922,9623,11284,12967,13421,NA,NA,NA,NA,NA,60,NA,5888,21700,60976.73,12700,24200,47400,61600,16100,30000,62000,84500
"Wayne State College",68787,42.241612,-97.014241,NA,0.0503,5898,10308,8831,9605,12497,13901,14464,NA,NA,NA,NA,NA,487,NA,7302,20050,51810.1,10900,21200,40000,51400,12400,22900,48300,66600
"Regional West Medical Center School of Radiologic Technology",69361,41.883319,-103.668774,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Nebraska Community College",NA,41.875705,-103.64249,NA,0,2616,2928,4685,5022,7171,9192,9109,NA,NA,NA,NA,NA,184,NA,9332,6687,45958.03,4700,13200,35600,53600,4800,15900,44000,57900
"York College",NA,40.867453,-97.579285,0.4374,0,17200,17200,NA,NA,NA,NA,NA,15576,13543,16432,18191,19709,NA,81,5443,26000,57118.86,6500,16500,35300,42800,8500,23400,51300,60100
"Academy of Hair Design-Las Vegas",89146,36.160105,-115.191801,NA,0,NA,NA,NA,NA,NA,NA,NA,14163,NA,NA,NA,NA,NA,73,NA,9500,70764.57,3500,11400,31600,39500,2900,7900,26600,56200
"Career College of Northern Nevada",NA,39.510978,-119.750697,NA,0,NA,NA,NA,NA,NA,NA,NA,20730,20305,21851,21675,24675,NA,126,3869,12657.5,61038.23,3800,12400,34300,43100,4200,14900,36400,58400
"College of Southern Nevada",NA,36.158443,-115.233784,NA,0.0143,2805,9450,7964,8216,9825,11441,11358,NA,NA,NA,NA,NA,1052,NA,7652,10500,65621.76,5000,14400,40400,57400,6000,16200,47600,68700
"The Art Institute of Las Vegas",NA,36.025768,-115.088269,NA,0.0324,17413,17413,NA,NA,NA,NA,NA,21646,21983,24368,24409,25486,NA,184,4921,22188,68166.7,4800,15300,39100,47100,6200,17300,44200,53800
"Everest College-Henderson",89074,36.03777,-115.04609,NA,0,12864,12864,NA,NA,NA,NA,NA,20119,19607,19303,28239,NA,NA,34,4953,11794,64463.89,4500,9900,31000,42200,3800,12500,38600,52500
"University of Nevada-Las Vegas",89154,36.106994,-115.141153,0.8841,0,6943,20853,9014,9545,11943,14867,15141,NA,NA,NA,NA,NA,1850,NA,10192,19018,70070.97,8600,22100,49000,65000,10600,26500,62100,85800
"University of Nevada-Reno",89557,39.545052,-119.818424,0.7852,0,6902,20812,11202,12320,15123,17825,18132,NA,NA,NA,NA,NA,1276,NA,9763,18801.5,68050.29,10500,22300,53100,72800,12700,29000,67800,91100
"Great Basin College",89801,40.84242,-115.76733,NA,0.1146,2805,9450,6828,7949,10063,12081,12081,NA,NA,NA,NA,NA,108,NA,5695,9500,64904.7,3500,11800,45400,74600,7000,14900,51100,80700
"Sierra Nevada College",89451,39.24586,-119.939523,0.657,0,29994,29994,NA,NA,NA,NA,NA,26310,25246,27034,27313,30851,NA,100,5792,24750,71252.07,3600,16100,39200,57000,11300,20300,56800,69400
"Truckee Meadows Community College",NA,39.572159,-119.795319,NA,0.0289,2805,9450,8029,8957,10515,12702,12702,NA,NA,NA,NA,NA,312,NA,7234,10500,62429.72,4100,15100,41000,61400,6800,16100,50700,73200
"Western Nevada College",NA,39.186158,-119.79036,NA,0.0033,2805,9450,8315,8702,10579,12949,12949,NA,NA,NA,NA,NA,232,NA,7360,11316,59285.8,6200,11800,39800,64700,3200,15400,44500,61600
"Colby-Sawyer College",NA,43.411663,-71.975805,0.9019,0,38860,38860,NA,NA,NA,NA,NA,19232,21453,21501,26528,28649,NA,262,7160,27000,75754.73,12500,21700,44700,66200,12900,29300,54700,72600
"Continental Academie of Hair Design-Hudson",3051,42.776588,-71.444744,NA,0,NA,NA,NA,NA,NA,NA,NA,12184,13945,15727,16351,16351,NA,43,NA,9075,83077.38,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Webster College",NA,42.776362,-71.514293,0.6196,0,15630,15630,NA,NA,NA,NA,NA,20649,20078,21354,22088,24232,NA,125,5008,27000,75000.78,14100,25400,54000,81700,13100,33400,78200,107500
"Dartmouth College",NA,43.70408,-72.289951,0.1097,0,49506,49506,NA,NA,NA,NA,NA,6419,6769,12337,17152,46910,NA,476,13483,13461.5,79834.73,15600,33700,81100,132000,16900,43800,126900,210500
"Empire Beauty School-Laconia",3246,43.526083,-71.468942,NA,0,NA,NA,NA,NA,NA,NA,NA,9366,10446,NA,15886,NA,NA,4,NA,9833,57680,3200,10300,29200,30700,2800,9800,27500,35400
"Empire Beauty School-Somersworth",3878,43.233083,-70.881727,NA,0,NA,NA,NA,NA,NA,NA,NA,9706,9988,13207,12135,15000,NA,25,NA,11015,64822.83,3200,9500,27000,36300,2300,10700,29700,44000
"Franklin Pierce University",NA,42.782305,-72.057875,0.7971,0,33320,33320,NA,NA,NA,NA,NA,20851,27865,26572,35000,26229,NA,468,5352,27000,72941.72,8500,21300,44300,55000,10900,23000,53300,70300
"University of New Hampshire-School of Law",NA,43.207371,-71.545152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9283,27000,70610.06,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Washington College",NA,42.971648,-71.470688,NA,0,9000,9000,NA,NA,NA,NA,NA,15750,NA,20641,20641,NA,NA,31,5138,19701,68302.35,5300,12800,36000,49400,5800,16900,43800,61300
"Keene Beauty Academy",3431,42.94865,-72.320267,NA,0,NA,NA,NA,NA,NA,NA,NA,12766,12035,15375,16375,16088,NA,46,NA,11333,56507.75,NA,NA,NA,NA,NA,NA,NA,NA
"Northeast Catholic College",NA,43.325164,-71.838691,0.9828,0,21200,21200,NA,NA,NA,NA,NA,8560,14370,14490,7900,16600,NA,12,3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School",3110,42.985355,-71.462238,NA,0,NA,NA,NA,NA,NA,NA,NA,15831,17684,19535,20622,20542,NA,61,NA,9833,71853.81,3800,10600,29700,40600,NA,11700,34500,NA
"New England College",3242,43.177005,-71.822928,0.9775,0,34606,34606,NA,NA,NA,NA,NA,33038,28565,29086,29254,24915,NA,284,6476,27000,73541.41,8900,17600,38900,61600,9700,21400,51200,63700
"New England School of Hair Design",3784,43.644134,-72.305714,NA,0,NA,NA,NA,NA,NA,NA,NA,20152,22626,25250,25125,25250,NA,34,NA,NA,53673.34,NA,NA,NA,NA,NA,NA,NA,NA
"Southern New Hampshire University",NA,43.039892,-71.453938,0.9171,0,30386,30386,NA,NA,NA,NA,NA,37709,35086,33794,30441,30288,NA,1558,7763,18816,71986.54,9800,24800,52700,61500,10000,27400,58200,82800
"New Hampshire Institute for Therapeutic Arts",3051,42.745607,-71.426739,NA,0,NA,NA,NA,NA,NA,NA,NA,18607,20898,20898,NA,NA,NA,34,NA,8180,61558.45,NA,NA,NA,NA,NA,NA,NA,NA
"University of New Hampshire-Main Campus",NA,43.134235,-70.934512,0.7861,0.004,16986,30256,16493,17771,21421,26341,29098,NA,NA,NA,NA,NA,1053,NA,11083,27000,77484.55,14100,27100,54600,66900,16900,31700,67100,89300
"Keene State College",NA,42.925999,-72.281433,0.7876,0.0996,13228,21408,15091,15541,18582,22665,24326,NA,NA,NA,NA,NA,422,NA,9217,26295,75913.18,12000,21500,42800,54500,13100,27700,55200,71700
"University of New Hampshire at Manchester",NA,42.990331,-71.468764,0.7317,0.1466,14143,27413,13216,11545,17961,20950,20950,NA,NA,NA,NA,NA,54,NA,9728,27000,77484.55,14100,27100,54600,66900,16900,31700,67100,89300
"Plymouth State University",NA,43.757386,-71.691164,0.7357,0,13128,21208,17458,19353,21168,23015,24230,NA,NA,NA,NA,NA,335,NA,8290,27000,74160.31,11700,21600,41500,51800,12700,25200,54000,68700
"NHTI-Concord's Community College",NA,43.223621,-71.531979,NA,0.0884,7104,15264,15844,19593,19638,19665,19665,NA,NA,NA,NA,NA,613,NA,6677,16000,66530.25,8900,18200,43700,60400,8900,24900,56100,72500
"White Mountains Community College",3570,44.503494,-71.158535,NA,0.0175,7344,15504,13307,17697,17918,17918,NA,NA,NA,NA,NA,NA,110,NA,4609,12000,55741.29,6200,16800,42300,57400,6700,19500,46900,63100
"River Valley Community College",NA,43.399375,-72.333274,NA,0,6855,15015,18959,23297,23297,NA,23297,NA,NA,NA,NA,NA,29,NA,5973,16750,NA,NA,21100,49900,NA,NA,NA,NA,NA
